# Playlist Blind Test — IDs Deezer
# 1337 morceaux, tous avec une année vérifiée
# Format : deezer:ID | titre(s) | artiste(s) | annee | notoriete
# notoriete = 0 a 100 : position du titre parmi ceux de sa decennie
#             (100 = le plus ecoute aujourd'hui de son epoque)

deezer:559730 | Lost In Hollywood | System of a Down | 2005 | 74
deezer:858371 | The Final Countdown | Europe | 1986 | 51
deezer:92720036 | Hells Bells | AC/DC | 1980 | 58
deezer:14381638 | Sonne | Rammstein | 2001 | 69
deezer:92720006 | T.N.T. | AC/DC | 1976 | 62
deezer:60840057 | Smoke On The Water | Deep Purple | 1972 | 55
deezer:92720048 | You Shook Me All Night Long | AC/DC | 1980 | 59
deezer:15523769 | Prison Song | System of a Down | 2001 | 71
deezer:3819908 | Duality | Slipknot | 2004 | 70
deezer:424562692 | Master Of Puppets | Metallica | 1986 | 24
deezer:1881054427 | Mary On A Cross | Ghost | 2019 | 43
deezer:630595142 | Du hast | Rammstein | 1996 | 53
deezer:559725 | Violent Pornography | System of a Down | 2005 | 53
deezer:3296401771 | NEVER ENOUGH | Turnstile | 2025 | 39
deezer:134523750 | Freak On a Leash | KoЯn | 1998 | 47
deezer:15523772 | Deer Dance | System of a Down | 2001 | 53
deezer:15523770 | Needles | System of a Down | 2001 | 54
deezer:15523788 | Forest | System of a Down | 2001 | 51
deezer:1195560 | Psychosocial | Slipknot | 2008 | 52
deezer:15523796 | Psycho | System of a Down | 2001 | 49
deezer:3390202151 | THE DEATH OF PEACE OF MIND | Bad Omens | 2021 | 41
deezer:15523784 | Bounce | System of a Down | 2001 | 44
deezer:92720038 | Shoot to Thrill | AC/DC | 1980 | 26
deezer:630594512 | Amerika | Rammstein | 2004 | 31
deezer:575867572 | One | Metallica | 1988 | 23
deezer:2350073455 | Zombie | Bad Wolves | 2018 | 31
deezer:13378870 | Blind | KoЯn | 1994 | 35
deezer:1195567 | Snuff | Slipknot | 2008 | 43
deezer:136338504 | For Whom The Bell Tolls | Metallica | 1984 | 27
deezer:3819914 | Before I Forget | Slipknot | 2004 | 42
deezer:3390202191 | Just Pretend | Bad Omens | 2022 | 39
deezer:2702713 | Le fruit défendu | Mystik | 1999 | 13
